id,title,filename,mime,width,height,alt,caption,url
1200,invozu.jpg,invozu.jpg,image/jpeg,185,122,,,https://www.inzovumall.com/wp-content/uploads/2024/08/invozu.jpg
1202,placeholder.png,placeholder-6.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-6.png
1204,placeholder.png,placeholder-7.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-7.png
1206,placeholder.png,placeholder-8.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-8.png
1208,placeholder.png,placeholder-9.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-9.png
1210,placeholder.png,placeholder-10.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-10.png
1212,placeholder.png,placeholder-11.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-11.png
1214,placeholder.png,placeholder-12.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-12.png
1216,placeholder.png,placeholder-13.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-13.png
1218,placeholder.png,placeholder-14.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-14.png
1220,placeholder.png,placeholder-15.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-15.png
1222,placeholder.png,placeholder-16.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-16.png
1225,placeholder.png,placeholder-17.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-17.png
1227,placeholder.png,placeholder-18.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-18.png
1229,placeholder.png,placeholder-19.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-19.png
1231,placeholder.png,placeholder-20.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-20.png
1233,placeholder.png,placeholder-21.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-21.png
1235,placeholder.png,placeholder-22.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-22.png
1237,placeholder.png,placeholder-23.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-23.png
1239,placeholder.png,placeholder-24.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-24.png
1241,placeholder.png,placeholder-25.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-25.png
1243,placeholder.png,placeholder-26.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-26.png
1245,placeholder.png,placeholder-27.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-27.png
1247,placeholder.png,placeholder-28.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-28.png
1249,placeholder.png,placeholder-29.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-29.png
1251,placeholder.png,placeholder-30.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-30.png
1253,placeholder.png,placeholder-31.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-31.png
1255,placeholder.png,placeholder-32.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-32.png
1257,placeholder.png,placeholder-33.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-33.png
1259,placeholder.png,placeholder-34.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-34.png
1261,placeholder.png,placeholder-35.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-35.png
1263,placeholder.png,placeholder-36.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-36.png
1265,placeholder.png,placeholder-37.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-37.png
1267,placeholder.png,placeholder-38.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-38.png
1269,placeholder.png,placeholder-39.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-39.png
1271,placeholder.png,placeholder-40.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-40.png
1273,placeholder.png,placeholder-41.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-41.png
